imax    1     number of categories 
jmax    11     number of samples minus one 
kmax    *     number of nuisance parameters 
------------------------------------------------------------------------------- 
shapes * * htt_mt.inputs-mssm-8TeV-0.root $CHANNEL/$PROCESS $CHANNEL/$PROCESS_$SYSTEMATIC 
shapes ggH * htt_mt.inputs-mssm-8TeV-0.root $CHANNEL/$PROCESS$MASS $CHANNEL/$PROCESS$MASS_$SYSTEMATIC 
shapes bbH * htt_mt.inputs-mssm-8TeV-0.root $CHANNEL/$PROCESS$MASS $CHANNEL/$PROCESS$MASS_$SYSTEMATIC 
------------------------------------------------------------------------------- 
bin                                                                              muTau_nobtag_high     
observation                                                                      2277                  
------------------------------------------------------------------------------- 
bin                                                                              muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high    muTau_nobtag_high     
CMS_scale_j_8TeV lnN                                                             -                    0.99                 -                    -                    -                    -                    -                    0.990                -                    -                    -                    -                     
CMS_htt_scale_met_8TeV lnN                                                       0.99                 0.99                 -                    -                    -                    1.010                1.010                1.010                -                    0.990                0.990                0.990                 
CMS_eff_b_8TeV lnN                                                               -                    0.99                 -                    -                    -                    -                    -                    0.950                0.980                -                    -                    -                     
CMS_fake_b_8TeV lnN                                                              -                    -                    -                    -                    -                    -                    -                    0.970                0.990                -                    -                    -                     
CMS_htt_zttNorm_8TeV lnN                                                         -                    -                    1.030                -                    -                    1.030                1.030                -                    -                    -                    -                    -                     
CMS_htt_extrap_ztt_mutau_nobtag_high_8TeV lnN                                    -                    -                    1.050                -                    -                    -                    -                    -                    -                    -                    -                    -                     
CMS_htt_ttbarNorm_8TeV lnN                                                       -                    -                    -                    -                    -                    -                    -                    1.100                -                    -                    -                    -                     
CMS_htt_ttbarPtReweight_8TeV shape                                               -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
CMS_htt_ttbarJetFake_8TeV shape                                                  -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
CMS_htt_DiBosonNorm_8TeV lnN                                                     -                    -                    -                    -                    -                    -                    -                    -                    1.150                -                    -                    -                     
CMS_htt_WNorm_mutau_nobtag_high_8TeV lnN                                         -                    -                    -                    -                    1.200                -                    -                    -                    -                    -                    -                    -                     
CMS_htt_QCDSyst_mutau_nobtag_high_8TeV lnN                                       -                    -                    -                    1.100                -                    -                    -                    -                    -                    -                    -                    -                     
CMS_htt_QCDfrShape_mutau_8TeV shape                                              -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
CMS_htt_ZJetFakeTau_mutau_8TeV lnN                                               -                    -                    -                    -                    -                    1.200                -                    -                    -                    -                    -                    -                     
CMS_htt_ZLeptonFakeTau_mutau_high_pTtau_8TeV lnN                                 -                    -                    -                    -                    -                    -                    1.300                -                    -                    -                    -                    -                     
CMS_htt_ZLScale_mutau_8TeV shape                                                 -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
CMS_htt_WShape_mutau_nobtag_high_8TeV shape                                      -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
CMS_htt_SM125_mu lnN                                                             -                    -                    -                    -                    -                    -                    -                    -                    -                    1.300                1.300                1.300                 
pdf_qqbar lnN                                                                    -                    -                    -                    -                    -                    -                    -                    -                    -                    -                    1.036                1.040                 
pdf_gg lnN                                                                       -                    -                    -                    -                    -                    -                    -                    -                    -                    1.097                -                    -                     
UEPS lnN                                                                         -                    -                    -                    -                    -                    -                    -                    -                    -                    1.013                1.050                1.050                 
QCDscale_ggH lnN                                                                 -                    -                    -                    -                    -                    -                    -                    -                    -                    1.080                -                    -                     
QCDscale_qqH lnN                                                                 -                    -                    -                    -                    -                    -                    -                    -                    -                    -                    1.022                -                     
QCDscale_VH lnN                                                                  -                    -                    -                    -                    -                    -                    -                    -                    -                    -                    -                    1.010                 
CMS_htt_higgsPtReweight_8TeV shape                                                  1                 -                    -                    -                    -                    -                    -                    -                    -                    -                    -                    -                     
CMS_htt_higgsPtReweight_scale_8TeV shape                                            1                 -                    -                    -                    -                    -                    -                    -                    -                    -                    -                    -                     
CMS_htt_higgsPtReweightSM_8TeV shape                                             -                    -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_6 shape                                 -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_7 shape                                 -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_8 shape                                 -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_9 shape                                 -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_10 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_11 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_12 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_13 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_14 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_15 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_16 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_17 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_18 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_19 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_20 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_21 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_22 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_23 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_24 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_25 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_26 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_27 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_28 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_29 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_30 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_TT_bin_31 shape                                -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_1 shape                                -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_2 shape                                -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_3 shape                                -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_4 shape                                -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_5 shape                                -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_6 shape                                -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_7 shape                                -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_8 shape                                -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_9 shape                                -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_10 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_11 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_12 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_13 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_14 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_15 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_16 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_17 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_18 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_19 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_20 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_21 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_22 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_23 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
CMS_htt_mt_muTau_nobtag_high_8TeV_QCD_bin_31 shape                               -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZTT_bin_6 shape                                -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZTT_bin_18 shape                               -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZTT_bin_19 shape                               -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZTT_bin_20 shape                               -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZTT_bin_22 shape                               -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZTT_bin_23 shape                               -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZTT_bin_24 shape                               -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZTT_bin_25 shape                               -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZTT_bin_26 shape                               -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZTT_bin_27 shape                               -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZTT_bin_28 shape                               -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZTT_bin_29 shape                               -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZTT_bin_30 shape                               -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZTT_bin_31 shape                               -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_1 shape                                  -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_2 shape                                  -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_3 shape                                  -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_4 shape                                  -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_5 shape                                  -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_6 shape                                  -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_7 shape                                  -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_8 shape                                  -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_9 shape                                  -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_10 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_11 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_12 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_13 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_14 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_15 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_16 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_17 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_18 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_19 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_20 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_21 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_22 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_23 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_24 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_W_bin_25 shape                                 -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_7 shape                                 -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_8 shape                                 -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_9 shape                                 -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_10 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_11 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_12 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_13 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_14 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_15 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_16 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_17 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_19 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_20 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_21 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_22 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_23 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_24 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_26 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZL_bin_27 shape                                -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_6 shape                                 -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_7 shape                                 -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_8 shape                                 -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_9 shape                                 -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_10 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_11 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_12 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_13 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_14 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_15 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_16 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_17 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_18 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_19 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_20 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_21 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_22 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_23 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_24 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_25 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_26 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_27 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_28 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_29 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_ZJ_bin_31 shape                                -                    -                    -                    -                    -                    1.000                -                    -                    -                    -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_6 shape                                 -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
#CMS_htt_mt_muTau_nobtag_high_8TeV_VV_bin_7 shape                                 -                    -                    -                    -                    -                    -                    -                    -                    1.000                -                    -                    -                     
