imax    1     number of categories 
jmax    8     number of samples minus one 
kmax    *     number of nuisance parameters 
------------------------------------------------------------------------------- 
shapes * * htt_et.inputs-mssm-7TeV-0.root $CHANNEL/$PROCESS $CHANNEL/$PROCESS_$SYSTEMATIC 
shapes ggH * htt_et.inputs-mssm-7TeV-0.root $CHANNEL/$PROCESS$MASS $CHANNEL/$PROCESS$MASS_$SYSTEMATIC 
shapes bbH * htt_et.inputs-mssm-7TeV-0.root $CHANNEL/$PROCESS$MASS $CHANNEL/$PROCESS$MASS_$SYSTEMATIC 
------------------------------------------------------------------------------- 
bin                                              eleTau_btag     
observation                                      274             
------------------------------------------------------------------------------- 
bin                                              eleTau_btag    eleTau_btag    eleTau_btag    eleTau_btag    eleTau_btag    eleTau_btag    eleTau_btag    eleTau_btag    eleTau_btag     
CMS_htt_QCDSyst_etau_btag_7TeV lnN               -              -              -              1.200          -              -              -              -              -               
CMS_htt_QCDShape_etau_btag_7TeV shape            -              -              -              1.000          -              -              -              -              -               
CMS_htt_ZLeptonFakeTau_etau_7TeV lnN             -              -              -              -              -              1.200          -              -              -               
CMS_htt_ZJetFakeTau_etau_btag_7TeV lnN           -              -              -              -              -              -              1.200          -              -               
CMS_htt_ZLScale_etau_7TeV shape                  -              -              -              -              -              1.000          -              -              -               
CMS_htt_WShape_etau_btag_7TeV shape              -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_1 shape       -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_2 shape       -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_3 shape       -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_4 shape       -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_5 shape       -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_6 shape       -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_7 shape       -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_8 shape       -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_9 shape       -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_10 shape      -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_11 shape      -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_12 shape      -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_13 shape      -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_14 shape      -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_15 shape      -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_TT_bin_16 shape      -              -              -              -              -              -              -              1.000          -               
CMS_htt_et_eleTau_btag_7TeV_QCD_bin_1 shape      -              -              -              1.000          -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_QCD_bin_2 shape      -              -              -              1.000          -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_QCD_bin_3 shape      -              -              -              1.000          -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_QCD_bin_4 shape      -              -              -              1.000          -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_QCD_bin_5 shape      -              -              -              1.000          -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_QCD_bin_6 shape      -              -              -              1.000          -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_QCD_bin_7 shape      -              -              -              1.000          -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_QCD_bin_8 shape      -              -              -              1.000          -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_QCD_bin_9 shape      -              -              -              1.000          -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_QCD_bin_10 shape     -              -              -              1.000          -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_QCD_bin_11 shape     -              -              -              1.000          -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_QCD_bin_12 shape     -              -              -              1.000          -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_QCD_bin_13 shape     -              -              -              1.000          -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZTT_bin_3 shape      -              -              1.000          -              -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZTT_bin_6 shape      -              -              1.000          -              -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZTT_bin_7 shape      -              -              1.000          -              -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZTT_bin_8 shape      -              -              1.000          -              -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZTT_bin_9 shape      -              -              1.000          -              -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZTT_bin_10 shape     -              -              1.000          -              -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZTT_bin_11 shape     -              -              1.000          -              -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZTT_bin_12 shape     -              -              1.000          -              -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZTT_bin_13 shape     -              -              1.000          -              -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZTT_bin_14 shape     -              -              1.000          -              -              -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_1 shape        -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_2 shape        -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_3 shape        -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_4 shape        -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_5 shape        -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_6 shape        -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_7 shape        -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_8 shape        -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_9 shape        -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_10 shape       -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_11 shape       -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_12 shape       -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_13 shape       -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_14 shape       -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_15 shape       -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_W_bin_16 shape       -              -              -              -              1.000          -              -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZL_bin_5 shape       -              -              -              -              -              1.000          -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZL_bin_6 shape       -              -              -              -              -              1.000          -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZL_bin_7 shape       -              -              -              -              -              1.000          -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZL_bin_8 shape       -              -              -              -              -              1.000          -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZL_bin_9 shape       -              -              -              -              -              1.000          -              -              -               
CMS_htt_et_eleTau_btag_7TeV_ZJ_bin_1 shape       -              -              -              -              -              -              1.000          -              -               
CMS_htt_et_eleTau_btag_7TeV_ZJ_bin_2 shape       -              -              -              -              -              -              1.000          -              -               
CMS_htt_et_eleTau_btag_7TeV_ZJ_bin_3 shape       -              -              -              -              -              -              1.000          -              -               
CMS_htt_et_eleTau_btag_7TeV_ZJ_bin_4 shape       -              -              -              -              -              -              1.000          -              -               
CMS_htt_et_eleTau_btag_7TeV_ZJ_bin_5 shape       -              -              -              -              -              -              1.000          -              -               
CMS_htt_et_eleTau_btag_7TeV_ZJ_bin_6 shape       -              -              -              -              -              -              1.000          -              -               
CMS_htt_et_eleTau_btag_7TeV_ZJ_bin_7 shape       -              -              -              -              -              -              1.000          -              -               
CMS_htt_et_eleTau_btag_7TeV_ZJ_bin_8 shape       -              -              -              -              -              -              1.000          -              -               
CMS_htt_et_eleTau_btag_7TeV_ZJ_bin_9 shape       -              -              -              -              -              -              1.000          -              -               
CMS_htt_et_eleTau_btag_7TeV_ZJ_bin_10 shape      -              -              -              -              -              -              1.000          -              -               
CMS_htt_et_eleTau_btag_7TeV_ZJ_bin_11 shape      -              -              -              -              -              -              1.000          -              -               
CMS_htt_et_eleTau_btag_7TeV_VV_bin_2 shape       -              -              -              -              -              -              -              -              1.000           
CMS_htt_et_eleTau_btag_7TeV_VV_bin_3 shape       -              -              -              -              -              -              -              -              1.000           
CMS_htt_et_eleTau_btag_7TeV_VV_bin_4 shape       -              -              -              -              -              -              -              -              1.000           
CMS_htt_et_eleTau_btag_7TeV_VV_bin_5 shape       -              -              -              -              -              -              -              -              1.000           
CMS_htt_et_eleTau_btag_7TeV_VV_bin_6 shape       -              -              -              -              -              -              -              -              1.000           
CMS_htt_et_eleTau_btag_7TeV_VV_bin_7 shape       -              -              -              -              -              -              -              -              1.000           
CMS_htt_et_eleTau_btag_7TeV_VV_bin_8 shape       -              -              -              -              -              -              -              -              1.000           
CMS_htt_et_eleTau_btag_7TeV_VV_bin_9 shape       -              -              -              -              -              -              -              -              1.000           
CMS_htt_et_eleTau_btag_7TeV_VV_bin_10 shape      -              -              -              -              -              -              -              -              1.000           
CMS_htt_et_eleTau_btag_7TeV_VV_bin_11 shape      -              -              -              -              -              -              -              -              1.000           
CMS_htt_et_eleTau_btag_7TeV_VV_bin_12 shape      -              -              -              -              -              -              -              -              1.000           
CMS_htt_et_eleTau_btag_7TeV_VV_bin_13 shape      -              -              -              -              -              -              -              -              1.000           
CMS_htt_et_eleTau_btag_7TeV_VV_bin_14 shape      -              -              -              -              -              -              -              -              1.000           
CMS_htt_et_eleTau_btag_7TeV_VV_bin_15 shape      -              -              -              -              -              -              -              -              1.000           
CMS_htt_et_eleTau_btag_7TeV_VV_bin_16 shape      -              -              -              -              -              -              -              -              1.000           
